"District_C11ID","Area.Other.Kharif.Pulses","Prod.Other.Kharif.Pulses","Yield.Other.Kharif.Pulses","Area.Moong","Prod.Moong","Yield.Moong","Area.Moth","Prod.Moth","Yield.Moth","Area.Other.Rabi.Pulses","Prod.Other.Rabi.Pulses","Yield.Other.Rabi.Pulses","Area.Peas...Beans..Pulses.","Prod.Peas...Beans..Pulses.","Yield.Peas...Beans..Pulses.","Area.Urad","Prod.Urad","Yield.Urad","Area.Gram","Prod.Gram","Yield.Gram","Area.Masoor","Prod.Masoor","Yield.Masoor","Area.HorseGram","Prod.HorseGram","Yield.HorseGram","Area.Arhar..Tur.","Prod.Arhar..Tur.","Yield.Arhar..Tur.","areaTot","prodTot","yieldTot","diversity","dominant_pulses"
123,576.444444444444,242.888888888889,0.382222222222222,746.4,215.9,0.279,14.6,3.66666666666667,0.253333333333333,3,3,1,5.83333333333333,5.33333333333333,1.13333333333333,1490.1,304.7,0.197,732.8,482.7,0.664,1,1,1,NA,NA,NA,7.33333333333333,4.4,0.522,3577.51111111111,1263.58888888889,0.353203344348647,3.50924427328676,"Area.Urad"
124,253.555555555556,61,0.284444444444444,34.5,9.1,0.272,18,10,0.56,1100.375,1111.75,0.9075,NA,NA,NA,12425.4,4111.4,0.337,10577.2,9779.1,0.902,3,2,0.67,NA,NA,NA,1982.66666666667,681.555555555556,0.35,26394.6972222222,15765.9055555556,0.597313370288708,2.56627384553872,"Area.Urad"
125,100.111111111111,28.6666666666667,0.303333333333333,58.1,17.8,0.287,10.1666666666667,1.83333333333333,0.166666666666667,3896.25,2363,0.58125,8.83333333333333,6.66666666666667,0.793333333333333,19706.6,6408.2,0.326,12965.6,12368.7,0.933,19.3,17.5,0.943,NA,NA,NA,6706.44444444444,2976.66666666667,0.445555555555556,43471.4055555556,24189.0333333333,0.556435501088647,3.06467296798936,"Area.Urad"
126,152.111111111111,44.8888888888889,0.306666666666667,936.4,275.1,0.277,13.6666666666667,6,0.295,185,204.714285714286,1.05428571428571,243.833333333333,282.833333333333,1.18166666666667,14108.1,4696.9,0.314,19859.6,16414.4,0.806,1560.7,1261.7,0.809,NA,NA,NA,309.777777777778,206.444444444444,0.584444444444444,37369.1888888889,23392.980952381,0.625996486622606,2.33924893909608,"Area.Gram"
127,7,1.85714285714286,0.538571428571429,382.9,109.7,0.279,5.5,1.5,0.32,56.6666666666667,89.8333333333333,1.41166666666667,317.5,644.833333333333,1.97666666666667,6998.1,2330.5,0.353,6693.3,6700.5,1.058,79.3,109,1.107,NA,NA,NA,88.6666666666667,35,0.507777777777778,14628.9333333333,10022.7238095238,0.685130185581346,2.27572353058888,"Area.Urad"
128,4.66666666666667,1.5,0.391666666666667,203,54.8,0.277,2.33333333333333,1,0.5,66.1428571428571,117.714285714286,2.17857142857143,208.833333333333,339.833333333333,1.81,1858.3,661.2,0.448,6998.1,8604.9,1.225,126.9,133.4,1.011,NA,NA,NA,94,39.2222222222222,0.5,9562.27619047619,9953.56984126984,1.04092055521084,1.74030559823962,"Area.Gram"
129,83.3333333333333,26.2222222222222,0.31,279.7,81.9,0.28,15,8,0.53,253,130.25,0.54875,50.6666666666667,119,2.39,14668.4,7317.7,0.491,19779.7,16885.8,0.816,3374.1,3248.8,0.994,NA,NA,NA,627.444444444444,490.666666666667,0.812222222222222,39131.3444444444,28308.3388888889,0.723418509912911,2.4764532263688,"Area.Gram"
130,286.444444444444,126.555555555556,0.436666666666667,234.5,68.3,0.28,23.6,6.4,0.238,1708.75,2556.5,1.19875,12,33.2,2.54,9832,2337.1,0.231,9062.9,9019.9,0.92,3,2,0.67,NA,NA,NA,3424.88888888889,2575.33333333333,0.728888888888889,24588.0833333333,16725.2888888889,0.680219302259112,3.12293069671878,"Area.Urad"
132,3177,1351,0.43,48.375,29.125,0.62875,NA,NA,NA,182,173,0.955,139.142857142857,167,1.21142857142857,3698,2009.625,0.54625,46.2727272727273,40.9090909090909,0.901818181818182,3018.88888888889,1557.22222222222,0.512222222222222,NA,NA,NA,8.28571428571429,6.28571428571429,0.757142857142857,10317.9651875902,5334.16702741703,0.51697858351302,3.23202199039746,"Area.Urad"
133,4210,2311,0.55,139.75,78.125,0.59125,NA,NA,NA,141,134.5,0.955,234.142857142857,281,1.21285714285714,3745.5,1971.875,0.53375,99.5454545454545,90.5454545454545,0.9,677.888888888889,360,0.511111111111111,NA,NA,NA,127.625,92.375,0.72,9375.4522005772,5319.42045454545,0.567377481186237,2.71857089043781,"Area.Other.Kharif.Pulses"
